"","x"
"1",7.4
"2",7.36666666666667
"3",7.36666666666667
"4",7.66666666666667
"5",5.93333333333333
"6",6.5
"7",8.03333333333333
"8",7.36666666666667
"9",6.46666666666667
"10",7.36666666666667
"11",6.96666666666667
"12",7.46666666666667
"13",6.93333333333333
"14",8.1
"15",8
"16",8.96666666666667
"17",8.7
"18",7.56666666666667
"19",8.13333333333333
"20",7.23333333333333
"21",7
"22",7.06666666666667
"23",6.2
"24",7.03333333333333
"25",7.63333333333333
"26",6.63333333333333
"27",7.36666666666667
"28",7.16666666666667
"29",5.56666666666667
"30",7.06666666666667
"31",8.16666666666667
"32",8.46666666666667
"33",7.06666666666667
"34",6.76666666666667
"35",7.66666666666667
"36",7.66666666666667
"37",6.06666666666667
"38",6.16666666666667
"39",7.56666666666667
"40",7.43333333333333
"41",7.46666666666667
"42",7.36666666666667
"43",8.36666666666667
"44",7.3
"45",6.53333333333333
"46",6.3
"47",8.13333333333333
"48",6.56666666666667
"49",7.33333333333333
"50",7.13333333333333
"51",6.76666666666667
"52",6.73333333333333
"53",7.8
"54",6.96666666666667
"55",6.56666666666667
"56",6.8
"57",7.73333333333333
"58",6.86666666666667
"59",8.63333333333333
"60",6.86666666666667
"61",6.83333333333333
"62",6.06666666666667
"63",7.03333333333333
"64",5.76666666666667
"65",6.4
"66",6.76666666666667
"67",7.7
"68",8.53333333333333
"69",7.9
"70",6.6
"71",6.63333333333333
"72",7.43333333333333
"73",9.2
"74",7.7
"75",6.16666666666667
"76",6.2
"77",7.6
"78",6.06666666666667
"79",5.46666666666667
"80",7.2
"81",7
"82",7.26666666666667
"83",8
"84",6.43333333333333
"85",6.9
"86",6.83333333333333
"87",5.23333333333333
"88",7.43333333333333
"89",7.13333333333333
"90",7.23333333333333
"91",8.06666666666667
"92",7.86666666666667
"93",6.16666666666667
"94",7.7
"95",7.03333333333333
"96",5.86666666666667
"97",5.53333333333333
"98",7.13333333333333
"99",8
"100",6.46666666666667
"101",7.53333333333333
"102",6.03333333333333
"103",8.3
"104",7.1
"105",7.53333333333333
"106",8.03333333333333
"107",6.83333333333333
"108",6.96666666666667
"109",7.03333333333333
"110",6.93333333333333
"111",6.2
"112",6.73333333333333
"113",7.66666666666667
"114",6.8
"115",8.16666666666667
"116",7.43333333333333
"117",6.9
"118",7.9
"119",6.33333333333333
"120",6.13333333333333
"121",8.06666666666667
"122",5.16666666666667
"123",7.7
"124",6.36666666666667
