"","Studentnummer","Inkomen"
"1","4466713",44047
"2","4000958",66004
"3","4136967",49442
"4","4090719",42890
"5","4414229",59478
"6","4191784",61857
"7","4468098",83593
"8","4340536",87753
"9","4091062",60011
"10","4338167",52133
"11","4273048",60609
"12","4139858",69995
"13","4072436",36156
"14","4478425",37222
"15","4413509",39237
"16","4198931",32997
"17","4018366",53511
"18","4401980",49234
"19","4468914",44684
"20","4356222",55747
"21","4308890",44177
"22","4258887",52523
"23","4473147",34869
"24","4061987",34349
"25","4401307",32022
"26","4179848",66667
"27","4392861",42721
"28","4425075",43956
"29","4016485",38288
