"","Studentnummer","hbo_vooropleiding"
"1",5615890,"nee"
"2",5922075,"nee"
"3",5445121,"nee"
"4",5981209,"nee"
"5",5357767,"nee"
"6",5473922,"nee"
"7",5465063,"nee"
"8",5333230,"nee"
"9",5459322,"nee"
"10",5610571,"nee"
"11",5150419,"nee"
"12",5518129,"nee"
"13",5921806,"nee"
"14",5359823,"nee"
"15",5351418,"ja"
"16",5279427,"nee"
"17",5667493,"nee"
"18",5645334,"nee"
"19",5117347,"nee"
"20",5357623,"ja"
"21",5680391,"nee"
"22",5749520,"nee"
"23",5676301,"nee"
"24",5250104,"nee"
"25",5194412,"nee"
"26",5309335,"nee"
"27",5565428,"nee"
"28",5353031,"nee"
"29",5798702,"nee"
"30",5542238,"nee"
"31",5098591,"ja"
"32",5766356,"nee"
"33",5501945,"nee"
"34",5949079,"nee"
"35",5617645,"ja"
"36",5629223,"nee"
"37",5696047,"ja"
"38",5102742,"nee"
"39",5290847,"nee"
"40",5388802,"nee"
"41",5319720,"nee"
"42",5857142,"nee"
"43",5508699,"nee"
"44",5066087,"nee"
"45",5798373,"nee"
"46",5627308,"nee"
"47",5470950,"nee"
"48",5556152,"ja"
"49",5484117,"nee"
"50",5743429,"nee"
"51",5199407,"ja"
"52",5013354,"nee"
"53",5812395,"ja"
"54",5441467,"nee"
"55",5434449,"nee"
"56",5051728,"nee"
"57",5054571,"nee"
"58",5686367,"nee"
"59",5997537,"nee"
"60",5545337,"ja"
"61",5010503,"ja"
"62",5531386,"ja"
"63",5575317,"nee"
"64",5229709,"nee"
"65",5698455,"ja"
"66",5249660,"nee"
"67",5773685,"nee"
"68",5492391,"nee"
"69",5561169,"nee"
"70",5178193,"nee"
"71",5847006,"nee"
"72",5128916,"nee"
"73",5714582,"nee"
"74",5930785,"ja"
"75",5969843,"nee"
"76",5116049,"nee"
"77",5511908,"nee"
"78",5055444,"nee"
"79",5755278,"nee"
"80",5380714,"nee"
"81",5486474,"ja"
"82",5837854,"nee"
"83",5637771,"nee"
"84",5898815,"nee"
"85",5819105,"ja"
"86",5260736,"nee"
"87",5347084,"nee"
"88",5257161,"nee"
"89",5441694,"nee"
"90",5726156,"nee"
"91",5410331,"nee"
"92",5636626,"nee"
"93",5242569,"nee"
"94",5028666,"ja"
"95",5386937,"ja"
"96",5746125,"nee"
"97",5647100,"nee"
"98",5618794,"nee"
"99",5581063,"nee"
"100",5001066,"nee"
"101",5619345,"nee"
"102",5746914,"nee"
"103",5492639,"nee"
"104",5939684,"nee"
"105",5112918,"nee"
"106",5739905,"nee"
"107",5042762,"ja"
"108",5441345,"nee"
"109",5278016,"nee"
"110",5344589,"ja"
"111",5780199,"nee"
"112",5980895,"nee"
"113",5942849,"nee"
"114",5419067,"nee"
"115",5920906,"nee"
"116",5755509,"nee"
"117",5795011,"nee"
"118",5571810,"ja"
"119",5095319,"nee"
"120",5308578,"nee"
"121",5935857,"nee"
"122",5527416,"nee"
"123",5768605,"nee"
"124",5480940,"nee"
"125",5306449,"nee"
"126",5470943,"nee"
"127",5936691,"nee"
"128",5675272,"nee"
"129",5559910,"ja"
"130",5819651,"nee"
"131",5570695,"nee"
"132",5156983,"nee"
"133",5388756,"nee"
"134",5551181,"nee"
"135",5613308,"nee"
"136",5775725,"nee"
"137",5748228,"nee"
"138",5789756,"ja"
"139",5142482,"nee"
"140",5673614,"nee"
"141",5031192,"nee"
"142",5022676,"nee"
"143",5964950,"nee"
"144",5855196,"nee"
"145",5560978,"ja"
"146",5828986,"ja"
"147",5939550,"nee"
"148",5665445,"ja"
"149",5412137,"nee"
"150",5691834,"ja"
"151",5447503,"ja"
"152",5381697,"nee"
"153",5905276,"nee"
"154",5421212,"nee"
"155",5184286,"ja"
"156",5653148,"nee"
"157",5666390,"nee"
"158",5127414,"nee"
"159",5630100,"nee"
"160",5086507,"nee"
"161",5977924,"nee"
"162",5237853,"nee"
"163",5746381,"nee"
"164",5475187,"nee"
"165",5676592,"ja"
"166",5487487,"nee"
"167",5405487,"nee"
"168",5424173,"nee"
"169",5615668,"nee"
"170",5110579,"nee"
"171",5875394,"nee"
"172",5134491,"nee"
"173",5153537,"nee"
"174",5618371,"nee"
"175",5335367,"nee"
"176",5101991,"nee"
"177",5901279,"ja"
"178",5728894,"ja"
"179",5996048,"nee"
"180",5789648,"nee"
"181",5157119,"nee"
"182",5862672,"nee"
"183",5355733,"nee"
"184",5373188,"ja"
"185",5384141,"nee"
"186",5482071,"nee"
"187",5319177,"ja"
"188",5227901,"ja"
"189",5361083,"nee"
"190",5470345,"nee"
"191",5400713,"nee"
"192",5032546,"nee"
"193",5894644,"ja"
"194",5584014,"nee"
"195",5265216,"nee"
"196",5530746,"nee"
"197",5681122,"nee"
"198",5316390,"nee"
"199",5717705,"ja"
"200",5336802,"nee"
"201",5291726,"nee"
"202",5051624,"nee"
"203",5380370,"nee"
"204",5117656,"nee"
"205",5846966,"nee"
"206",5969737,"nee"
"207",5912603,"ja"
"208",5864111,"nee"
"209",5416606,"nee"
"210",5590770,"ja"
"211",5613952,"nee"
"212",5532796,"ja"
"213",5656925,"nee"
"214",5422691,"nee"
"215",5013205,"nee"
"216",5364259,"nee"
"217",5269371,"nee"
"218",5271971,"nee"
"219",5078653,"ja"
"220",5551581,"nee"
"221",5987502,"nee"
"222",5569729,"nee"
"223",5747389,"nee"
"224",5789817,"nee"
"225",5424376,"nee"
"226",5052439,"nee"
"227",5014747,"nee"
"228",5073691,"nee"
"229",5594523,"nee"
"230",5030291,"nee"
"231",5665480,"nee"
"232",5608112,"nee"
"233",5056807,"nee"
"234",5784547,"nee"
"235",5722601,"nee"
"236",5609042,"ja"
"237",5078946,"nee"
"238",5278842,"nee"
"239",5751561,"nee"
"240",5013774,"nee"
"241",5307924,"nee"
"242",5686493,"nee"
"243",5600843,"nee"
"244",5390980,"nee"
"245",5130998,"nee"
"246",5597851,"ja"
"247",5935938,"nee"
"248",5771484,"nee"
"249",5213025,"nee"
"250",5806262,"ja"
"251",5052085,"ja"
"252",5581777,"nee"
"253",5804499,"ja"
"254",5838740,"nee"
"255",5830238,"ja"
"256",5894924,"nee"
"257",5634957,"nee"
"258",5812643,"ja"
"259",5816330,"ja"
"260",5706859,"nee"
"261",5141214,"nee"
"262",5821254,"nee"
"263",5811868,"nee"
"264",5578739,"ja"
"265",5669098,"nee"
"266",5928131,"nee"
"267",5532905,"nee"
"268",5424222,"nee"
"269",5052649,"nee"
"270",5007572,"nee"
"271",5439570,"nee"
"272",5556385,"nee"
"273",5968060,"nee"
"274",5775202,"nee"
"275",5493917,"nee"
"276",5803565,"nee"
"277",5910197,"ja"
"278",5228088,"ja"
"279",5491051,"nee"
"280",5516022,"nee"
"281",5367352,"nee"
"282",5304164,"nee"
"283",5887668,"nee"
"284",5424805,"nee"
"285",5975509,"ja"
"286",5401288,"nee"
"287",5117115,"nee"
"288",5365581,"nee"
"289",5169832,"nee"
"290",5851699,"nee"
"291",5421112,"nee"
"292",5649313,"nee"
"293",5226931,"nee"
"294",5224971,"ja"
"295",5201757,"nee"
"296",5563696,"nee"
"297",5609827,"ja"
"298",5992555,"nee"
"299",5922347,"nee"
"300",5852377,"ja"
"301",5147977,"nee"
"302",5819220,"nee"
"303",5503296,"ja"
"304",5578427,"nee"
"305",5454503,"nee"
"306",5002860,"ja"
"307",5649981,"nee"
"308",5633508,"nee"
"309",5072645,"nee"
"310",5229040,"nee"
"311",5523259,"nee"
"312",5245755,"nee"
"313",5709545,"nee"
"314",5608161,"nee"
"315",5997374,"ja"
"316",5708049,"nee"
"317",5293565,"nee"
"318",5582487,"nee"
"319",5109360,"nee"
"320",5801930,"nee"
"321",5060377,"nee"
"322",5705552,"nee"
"323",5559293,"nee"
"324",5121790,"nee"
"325",5404359,"nee"
"326",5531231,"nee"
"327",5325772,"nee"
"328",5040184,"nee"
"329",5117216,"nee"
"330",5823109,"nee"
"331",5049199,"nee"
"332",5011740,"nee"
"333",5793281,"ja"
"334",5397983,"nee"
"335",5997570,"ja"
"336",5802212,"nee"
"337",5359805,"ja"
"338",5002001,"nee"
"339",5495968,"ja"
"340",5784018,"nee"
"341",5862587,"nee"
"342",5371139,"nee"
"343",5423649,"nee"
"344",5762507,"nee"
"345",5883196,"nee"
"346",5988272,"nee"
"347",5568287,"nee"
"348",5646719,"nee"
"349",5860154,"ja"
"350",5707424,"nee"
"351",5102657,"nee"
"352",5275404,"nee"
"353",5046075,"nee"
"354",5874768,"nee"
"355",5568026,"nee"
"356",5409428,"nee"
"357",5930844,"nee"
"358",5120130,"nee"
"359",5326915,"nee"
"360",5315471,"nee"
"361",5128556,"nee"
"362",5891577,"nee"
"363",5719908,"ja"
"364",5214106,"nee"
"365",5260581,"nee"
"366",5394419,"nee"
