"","Studentnummer","FOS","Maand"
"944",4000039,"ja","december"
"3787",4000039,"ja","juni"
"2149",4000582,"ja","december"
"4992",4000582,"ja","juni"
"1487",4000720,"ja","december"
"4330",4000720,"ja","juni"
"430",4000859,"nee","december"
"3273",4000859,"nee","juni"
"2035",4000978,"ja","december"
"4878",4000978,"ja","juni"
"2444",4001608,"ja","december"
"5287",4001608,"ja","juni"
"1046",4001817,"nee","december"
"3889",4001817,"nee","juni"
"390",4002078,"ja","december"
"3233",4002078,"ja","juni"
"1851",4002399,"ja","december"
"4694",4002399,"ja","juni"
"1799",4002551,"ja","december"
"4642",4002551,"ja","juni"
"261",4002832,"nee","december"
"3104",4002832,"nee","juni"
"352",4003327,"nee","december"
"3195",4003327,"nee","juni"
"1558",4003438,"ja","december"
"4401",4003438,"ja","juni"
"2038",4003795,"nee","december"
"4881",4003795,"nee","juni"
"1317",4003872,"nee","december"
"4160",4003872,"nee","juni"
"1419",4004124,"nee","december"
"4262",4004124,"nee","juni"
"1621",4004668,"ja","december"
"4464",4004668,"ja","juni"
"1722",4004680,"ja","december"
"4565",4004680,"ja","juni"
"2153",4005787,"ja","december"
"4996",4005787,"ja","juni"
"2406",4006246,"nee","december"
"5249",4006246,"nee","juni"
"1483",4007386,"nee","december"
"4326",4007386,"nee","juni"
"1586",4007472,"nee","december"
"4429",4007472,"ja","juni"
"1329",4007932,"nee","december"
"4172",4007932,"nee","juni"
"600",4008100,"ja","december"
"3443",4008100,"ja","juni"
"1836",4008307,"nee","december"
"4679",4008307,"nee","juni"
"1887",4008694,"nee","december"
"4730",4008694,"nee","juni"
"701",4009100,"nee","december"
"3544",4009100,"nee","juni"
"1214",4009427,"nee","december"
"4057",4009427,"nee","juni"
"1784",4009535,"ja","december"
"4627",4009535,"ja","juni"
"197",4009689,"ja","december"
"3040",4009689,"ja","juni"
"673",4010580,"nee","december"
"3516",4010580,"nee","juni"
"227",4010687,"nee","december"
"3070",4010687,"nee","juni"
"2134",4011163,"nee","december"
"4977",4011163,"nee","juni"
"171",4011259,"nee","december"
"3014",4011259,"nee","juni"
"1307",4011809,"nee","december"
"4150",4011809,"nee","juni"
"43",4013283,"nee","december"
"2886",4013283,"nee","juni"
"120",4013823,"nee","december"
"2963",4013823,"nee","juni"
"1774",4014278,"nee","december"
"4617",4014278,"nee","juni"
"1369",4015268,"nee","december"
"4212",4015268,"nee","juni"
"287",4015922,"ja","december"
"3130",4015922,"ja","juni"
"1860",4016185,"nee","december"
"4703",4016185,"nee","juni"
"2043",4016464,"nee","december"
"4886",4016464,"nee","juni"
"2073",4016826,"nee","december"
"4916",4016826,"nee","juni"
"2683",4017642,"ja","december"
"5526",4017642,"ja","juni"
"1623",4017950,"ja","december"
"4466",4017950,"ja","juni"
"179",4018143,"nee","december"
"3022",4018143,"nee","juni"
"2668",4018206,"nee","december"
"5511",4018206,"nee","juni"
"2191",4018296,"nee","december"
"5034",4018296,"nee","juni"
"2798",4018544,"ja","december"
"5641",4018544,"ja","juni"
"310",4019771,"nee","december"
"3153",4019771,"nee","juni"
