"","Studentnummer","Periode","Uitval"
"1","4011418","Geen leenstelsel","Uitval"
"2","4031552","Geen leenstelsel","Geen uitval"
"3","4035267","Geen leenstelsel","Geen uitval"
"4","4035628","Geen leenstelsel","Uitval"
"5","4045355","Geen leenstelsel","Geen uitval"
"6","4067900","Geen leenstelsel","Geen uitval"
"7","4081935","Geen leenstelsel","Geen uitval"
"8","4110795","Geen leenstelsel","Geen uitval"
"9","4135768","Geen leenstelsel","Geen uitval"
"10","4138636","Geen leenstelsel","Geen uitval"
"11","4147873","Geen leenstelsel","Uitval"
"12","4174219","Leenstelsel","Geen uitval"
"13","4193033","Leenstelsel","Geen uitval"
"14","4198467","Leenstelsel","Uitval"
"15","4202564","Leenstelsel","Geen uitval"
"16","4239745","Leenstelsel","Uitval"
"17","4264307","Leenstelsel","Uitval"
"18","4293160","Leenstelsel","Geen uitval"
"19","4300215","Leenstelsel","Geen uitval"
"20","4306056","Leenstelsel","Geen uitval"
"21","4319324","Leenstelsel","Geen uitval"
"22","4327413","Leenstelsel","Geen uitval"
"23","4334030","Leenstelsel","Geen uitval"
"24","4335494","Leenstelsel","Geen uitval"
"25","4365361","Leenstelsel","Uitval"
"26","4376969","Leenstelsel","Uitval"
"27","4378969","Leenstelsel","Geen uitval"
"28","4381589","Leenstelsel","Geen uitval"
"29","4397410","Leenstelsel","Uitval"
"30","4410279","Leenstelsel","Uitval"
"31","4414949","Leenstelsel","Geen uitval"
"32","4439643","Leenstelsel","Geen uitval"
