"","Studentnummer","Landen_vooropleiding","BSA"
"951","4000039","NL","Positief"
"2154","4000582","US","Positief"
"1023","4000618","NL","Positief"
"1491","4000720","GE","Positief"
"432","4000859","NL","Positief"
"2039","4000978","US","Negatief"
"1589","4001662","IT","Positief"
"1052","4001817","NL","Positief"
"1083","4001982","NL","Positief"
"390","4002078","NL","Positief"
"1620","4002266","UK","Positief"
"1851","4002399","BE","Positief"
"1750","4002524","ES","Positief"
"1799","4002551","BE","Negatief"
"1067","4002601","NL","Positief"
"258","4002832","NL","Positief"
"1710","4002835","UK","Negatief"
"1193","4003038","NL","Positief"
"2046","4003163","US","Positief"
"352","4003327","NL","Positief"
"1563","4003438","IT","Negatief"
"2042","4003795","US","Positief"
"46","4003862","NL","Positief"
"1322","4003872","GE","Positief"
"1422","4004124","GE","Positief"
"470","4004357","NL","Positief"
"1624","4004668","UK","Positief"
"1722","4004680","UK","Positief"
"942","4005100","NL","Positief"
"2158","4005787","US","Positief"
"1700","4005945","UK","Positief"
"149","4006216","NL","Positief"
"28","4006518","NL","Positief"
"1292","4006695","GE","Positief"
"1031","4006761","NL","Positief"
"126","4007130","NL","Positief"
"1480","4007385","GE","Positief"
"1487","4007386","GE","Positief"
"1588","4007472","IT","Positief"
"263","4007559","NL","Positief"
"1334","4007932","GE","Positief"
"603","4008100","NL","Positief"
"1770","4008288","ES","Positief"
"1836","4008307","BE","Positief"
"1889","4008694","US","Positief"
"236","4008789","NL","Positief"
"705","4009100","NL","Positief"
"45","4009391","NL","Positief"
"1221","4009427","NL","Negatief"
"1784","4009535","BE","Positief"
"196","4009689","NL","Negatief"
"1260","4009889","NL","Positief"
"677","4010580","NL","Positief"
"226","4010687","NL","Positief"
"551","4010764","NL","Positief"
"2089","4010998","US","Positief"
"1152","4011055","NL","Positief"
"135","4011095","NL","Negatief"
"2140","4011163","US","Positief"
"172","4011259","NL","Positief"
"1312","4011809","GE","Negatief"
"1035","4011919","NL","Negatief"
