"","x"
"1",26429
"2",37635
"3",35997
"4",38987
"5",24505
"6",34177
"7",41548
"8",37908
"9",25285
"10",71864
"11",43732
"12",27885
"13",32409
"14",41873
"15",48997
"16",33644
"17",30303
"18",45357
"19",54535
"20",39819
"21",74763
"22",38558
"23",40339
"24",52533
"25",53274
"26",43043
"27",34892
"28",21281
"29",27872
"30",25987
"31",42536
"32",42302
"33",27040
"34",36595
"35",42835
"36",22087
"37",61308
"38",33384
"39",46319
"40",29536
"41",28236
"42",24726
"43",62816
"44",69121
"45",32149
"46",38298
"47",46878
"48",35061
"49",36777
"50",51285
"51",45110
"52",42003
"53",27508
"54",27963
"55",35620
"56",43589
"57",35386
"58",44148
"59",36595
"60",33319
"61",38324
"62",25792
"63",41041
"64",25610
"65",27157
"66",29614
"67",44928
"68",40352
"69",23842
"70",40937
"71",39390
"72",32851
"73",65559
"74",39715
"75",35919
"76",27521
"77",44018
"78",74490
"79",26429
"80",25207
"81",39429
"82",31291
"83",35126
"84",31629
"85",37921
"86",62725
"87",27495
"88",49257
"89",26494
"90",26468
"91",40807
"92",44564
"93",35555
"94",35282
"95",28210
"96",66794
"97",39715
"98",43277
"99",42523
"100",40066
"101",51519
"102",55107
"103",25012
"104",58981
"105",26728
"106",62452
"107",27105
"108",38675
"109",31876
"110",61867
"111",38207
"112",27157
"113",22737
"114",35854
"115",69095
"116",46280
"117",62504
"118",21190
"119",46020
"120",39507
"121",34762
"122",27885
"123",54756
"124",32448
"125",35204
"126",48425
"127",24752
"128",58149
"129",73931
"130",39871
"131",64831
"132",28925
"133",37440
"134",60879
"135",41041
"136",49049
"137",32916
"138",30758
"139",43875
"140",38350
"141",37219
"142",41574
"143",66573
"144",59527
"145",45708
"146",44642
"147",32552
"148",47554
"149",40014
"150",63791
"151",46436
"152",50674
"153",30641
"154",42354
"155",30641
"156",47424
"157",40612
"158",49231
"159",43212
"160",37661
"161",33553
"162",36478
"163",47216
"164",43420
"165",22009
"166",37804
"167",53261
"168",45929
"169",45734
"170",59787
"171",58487
"172",33137
"173",39910
"174",38831
"175",39910
"176",59553
"177",48971
"178",76336
"179",22646
"180",23868
"181",53443
"182",40638
"183",34528
"184",39871
"185",41964
"186",40157
"187",32383
"188",38077
"189",22919
"190",21229
"191",28769
"192",75647
"193",54509
"194",42796
"195",44447
"196",41197
"197",53664
"198",31850
"199",26663
"200",27924
"201",41431
"202",56771
"203",25064
"204",23842
"205",45292
"206",28405
"207",46033
"208",44564
"209",57824
"210",62452
"211",30641
"212",45149
"213",37934
"214",24648
"215",82485
"216",32578
"217",27391
"218",46501
"219",34879
"220",27677
"221",32786
"222",37284
"223",49452
"224",22711
"225",35555
"226",57421
"227",37167
"228",51051
"229",55354
"230",32032
"231",66560
"232",44889
"233",34489
"234",25155
"235",40924
"236",30485
"237",28977
"238",42484
"239",49166
"240",47229
"241",22412
"242",54626
"243",36777
"244",26104
"245",41223
"246",40937
"247",35932
"248",40729
"249",49166
"250",45929
"251",35867
"252",32461
"253",42341
"254",46163
"255",28015
"256",39364
"257",22282
"258",62595
"259",54041
"260",47736
"261",30394
"262",44083
"263",59319
"264",62036
"265",29523
"266",37011
"267",25974
"268",64532
"269",58773
"270",27287
"271",62881
"272",54314
"273",44629
"274",21749
"275",40612
"276",62374
"277",39819
"278",49205
"279",69095
"280",39377
"281",35607
"282",32422
"283",24908
"284",35321
"285",45955
"286",46995
"287",46189
"288",61633
"289",34645
"290",57343
"291",57070
"292",39208
"293",26650
"294",64285
"295",44213
"296",24037
"297",40001
"298",37388
"299",32994
"300",34099
"301",54990
"302",21788
"303",80873
"304",29432
"305",32110
"306",32786
"307",55432
"308",57070
"309",59891
"310",43264
"311",28509
"312",26949
"313",33241
"314",30823
"315",37986
"316",48022
"317",31330
"318",28444
"319",46319
"320",44824
"321",38974
"322",51558
"323",44213
"324",36829
"325",45318
"326",35945
"327",34034
"328",63063
"329",72111
"330",29146
"331",38181
"332",46189
"333",51844
"334",38909
"335",77909
"336",41340
"337",26156
"338",35971
"339",75361
"340",30667
"341",34762
"342",38935
"343",41691
"344",33358
"345",45461
"346",89726
"347",77064
"348",32175
"349",52793
"350",51922
"351",27560
"352",74815
"353",73801
"354",40729
"355",57538
"356",50791
"357",77727
"358",40053
"359",35035
"360",36608
"361",50817
"362",37830
"363",54158
"364",45214
"365",64545
"366",30238
"367",22321
"368",73853
"369",60047
"370",51805
"371",50102
"372",26884
"373",38870
"374",45409
"375",24869
"376",41366
"377",29367
"378",40053
"379",65676
"380",28470
"381",54899
"382",40872
"383",41665
"384",38168
"385",31850
"386",41145
"387",58682
"388",44668
"389",41119
"390",35477
"391",43862
"392",48386
"393",26455
"394",42445
"395",34593
"396",54314
"397",35230
"398",32305
"399",30927
"400",31694
"401",22581
"402",27469
"403",22555
"404",46501
"405",49738
"406",37141
"407",34554
"408",38753
"409",25116
"410",44577
"411",53365
"412",22399
"413",48880
"414",42848
"415",75868
"416",50700
"417",32591
"418",51220
"419",44850
"420",34515
"421",46358
"422",53547
"423",44603
"424",33540
"425",22724
"426",31915
"427",26013
"428",44421
"429",31005
"430",32721
"431",38337
"432",27326
"433",47684
"434",46514
"435",39468
"436",46033
"437",43810
"438",24206
"439",26936
"440",47164
"441",28574
"442",76622
"443",41899
"444",27391
"445",44642
"446",61672
"447",28184
"448",45227
"449",39754
"450",44226
"451",73385
"452",26611
"453",40404
"454",50869
"455",65416
"456",54899
"457",38831
"458",65221
"459",34905
"460",42185
"461",29731
"462",48763
"463",35204
"464",22958
"465",30810
"466",24674
"467",31746
"468",33878
"469",36972
"470",55003
"471",55887
"472",38259
"473",57902
"474",42185
"475",35698
"476",32201
"477",36634
"478",34411
"479",59956
"480",43017
"481",36140
"482",34099
"483",38571
"484",23413
"485",40027
"486",51909
"487",54119
"488",46566
"489",25506
"490",28652
"491",49088
"492",40924
"493",36803
"494",23998
"495",31876
"496",31200
"497",52507
"498",42341
"499",49361
"500",77207
"501",24921
"502",44564
"503",26286
"504",36010
"505",24635
"506",36725
"507",76310
"508",67665
"509",29692
"510",44889
"511",50453
"512",66755
"513",31304
"514",25207
"515",24050
"516",31148
"517",48373
"518",41678
"519",41691
"520",34541
"521",29575
"522",26702
"523",73840
"524",42146
"525",48503
"526",48698
"527",51220
"528",39403
"529",36920
"530",55835
"531",51220
"532",25870
"533",24687
"534",32110
"535",46345
"536",46579
"537",62725
"538",37739
"539",38064
"540",61646
"541",35399
"542",41795
"543",33137
"544",48438
"545",51285
"546",40937
"547",28691
"548",25987
"549",34021
"550",40664
"551",31122
"552",37154
"553",28444
"554",35100
"555",22984
"556",43095
"557",27222
"558",45981
"559",25571
"560",30602
"561",23556
"562",41470
"563",63869
"564",52052
"565",45383
"566",41561
"567",50193
"568",24583
"569",23335
