"","Studentnummer","Geslacht","Eindexamencijfer_Wiskunde","Aantal_Hoorcolleges","Eindcijfer_MS"
"1",354690,"Man",7.5,3,4.5
"2",387774,"Vrouw",8,2,4.5
"3",377848,"Vrouw",7,2,5.2
"4",360756,"Vrouw",7,2,5.4
"5",388885,"Vrouw",6.5,5,6.3
"6",357981,"Vrouw",9.5,2,7.4
"7",345012,"Vrouw",8,3,6.4
"8",329501,"Man",9,8,7.7
"9",398873,"Vrouw",7.5,2,4
"10",367718,"Vrouw",6.5,10,10
"11",361412,"Vrouw",5.5,2,4.9
"12",303231,"Vrouw",6.5,10,6.9
"13",399093,"Vrouw",7.5,8,7.3
"14",318655,"Man",8.5,9,7.4
"15",347801,"Man",7.5,8,6.8
"16",381862,"Man",6,6,5
"17",355158,"Man",8,8,7.3
"18",358438,"Man",5.5,8,6.9
"19",362272,"Vrouw",7,3,3.9
"20",307227,"Man",7,8,3.7
"21",384770,"Vrouw",5.5,8,6.3
"22",321493,"Man",8,8,7.2
"23",367346,"Man",6.5,3,5.4
"24",396923,"Vrouw",7,3,5
"25",331904,"Vrouw",8.5,8,7.7
"26",333367,"Vrouw",8,6,5.3
"27",305799,"Vrouw",7,10,8.5
"28",335737,"Vrouw",8,9,8.3
"29",396075,"Man",7.5,6,6.5
"30",307630,"Vrouw",9,3,6.8
"31",337245,"Man",7.5,7,7.1
"32",363949,"Vrouw",8,8,7.5
"33",373198,"Man",7.5,8,7.3
"34",312250,"Man",7,10,8.2
"35",378898,"Vrouw",7.5,3,6.1
"36",306514,"Vrouw",9,4,6.3
"37",306620,"Vrouw",6.5,8,7.5
"38",365887,"Vrouw",7.5,8,5.9
"39",322517,"Vrouw",8.5,1,4.2
"40",364661,"Vrouw",7,6,7.6
"41",300800,"Man",6,10,6.3
"42",335462,"Vrouw",6.5,2,4.7
"43",352010,"Man",7,8,7.4
"44",360789,"Man",6.5,2,5.4
"45",306474,"Vrouw",7,8,6.6
"46",377812,"Vrouw",7,10,7.9
"47",365592,"Man",7,2,2.8
"48",348766,"Vrouw",7.5,7,7
"49",354765,"Man",8,8,6.5
"50",360068,"Man",9,4,5.6
"51",337836,"Vrouw",7,3,3.8
"52",319693,"Vrouw",7,8,7.3
"53",356036,"Vrouw",8.5,4,6.4
"54",304725,"Vrouw",9,10,7.9
"55",333471,"Vrouw",7.5,3,6.9
"56",314689,"Man",7,10,8.4
"57",389274,"Vrouw",5.5,7,7.1
"58",303704,"Man",8.5,4,7.8
"59",319004,"Man",6.5,3,4.2
"60",345126,"Vrouw",6,6,6.7
"61",301955,"Vrouw",10,5,7.5
"62",310927,"Man",7.5,3,5.1
"63",375094,"Vrouw",7,8,7.3
"64",399632,"Vrouw",5.5,3,3.6
"65",317336,"Man",7,8,7.4
"66",353892,"Vrouw",8,4,4.9
"67",384259,"Vrouw",7.5,8,7.9
"68",337332,"Vrouw",8,10,7.2
"69",394330,"Vrouw",9,3,5.8
"70",393083,"Vrouw",8.5,10,7.3
"71",312820,"Man",6.5,3,4.6
"72",390235,"Man",8,5,4.4
"73",328930,"Vrouw",7,3,5.1
"74",324480,"Vrouw",6.5,4,6.2
"75",391114,"Man",5.5,3,4.8
"76",351746,"Man",6.5,10,5.9
"77",326133,"Vrouw",7.5,8,6.5
"78",395537,"Man",9.5,3,7.2
"79",352640,"Vrouw",8,8,9
"80",344265,"Man",8,2,3.6
"81",378751,"Vrouw",6.5,9,6.9
"82",340862,"Man",7.5,7,7
"83",338328,"Man",5.5,3,4.9
"84",312358,"Vrouw",7.5,10,7.3
"85",377104,"Vrouw",8,3,4.2
"86",342261,"Vrouw",7.5,5,5.7
"87",302503,"Man",8,8,8.2
"88",362738,"Vrouw",7.5,8,7.1
"89",391897,"Man",8,3,4.6
"90",327157,"Vrouw",9,5,5.7
"91",360167,"Vrouw",8.5,3,6.9
"92",319727,"Man",7.5,9,7
"93",377947,"Vrouw",6,3,5.5
"94",305635,"Man",7.5,3,6.5
"95",382022,"Man",7,3,5.4
"96",335470,"Vrouw",8.5,10,7.7
"97",360976,"Man",5.5,8,6.5
"98",368108,"Vrouw",7,3,4.5
"99",301016,"Man",7.5,8,8.3
"100",324752,"Vrouw",7,4,5.2
