"","Studentnummer","Geslacht","Vooropleiding","Gemiddeld_cijfer"
"239","4366733","Vrouw","hbo",6.04506963688122
"392","4160002","Vrouw","vwo",7.83373263441171
"130","4445609","Man","vwo",6.63806016049533
"452","4100517","Vrouw","vwo",6.60422859341106
"525","4461278","Vrouw","vwo",8.36185151113365
"298","4323192","Vrouw","vwo",7.20418890088027
"338","4238497","Vrouw","vwo",7.13414729752071
"495","4409780","Vrouw","vwo",8.72415647914164
"41","4166741","Man","hbo",7.26963136669242
"330","4490139","Vrouw","vwo",8.20656143486407
"416","4124840","Vrouw","vwo",7.61251627333967
"3","4304107","Man","hbo",6.49466301272947
"121","4167974","Man","vwo",6.91657014135927
"106","4349624","Man","vwo",5.64170757500431
"104","4448942","Man","vwo",7.49492421987266
"368","4056036","Vrouw","vwo",6.11819636765515
"217","4325066","Vrouw","hbo",4.95220592842382
"564","4337613","Vrouw","overig",7.80205652414274
"616","4453928","Vrouw","overig",6.84441437218518
"372","4089274","Vrouw","vwo",6.5584774288708
"188","4108304","Man","overig",6.92267913499541
"213","4429606","Vrouw","hbo",6.80536564154674
"587","4012675","Vrouw","overig",8.30740229118283
"22","4229506","Man","hbo",6.08876930211863
"342","4012250","Vrouw","vwo",8.69275862816597
"180","4268750","Man","overig",7.15629354251416
"447","4295529","Vrouw","vwo",7.17259591005261
"478","4490698","Vrouw","vwo",6.45916035849323
"462","4211607","Vrouw","vwo",7.16301403514248
"419","4136707","Vrouw","vwo",5.98380660579378
"329","4067346","Vrouw","vwo",9.23516726396696
"273","4266037","Vrouw","hbo",6.2262454916803
"469","4240097","Vrouw","vwo",4.36951794461942
"145","4291244","Man","vwo",8.25657043692358
"260","4210754","Vrouw","hbo",5.7917457452997
"38","4463342","Man","hbo",5.72775823375383
"176","4474059","Man","overig",6.46067814903986
"201","4420210","Vrouw","hbo",5.38038248691001
"460","4051991","Vrouw","vwo",6.34632828706075
"119","4170172","Man","vwo",9.80577504719934
"1","4237391","Man","hbo",6.49556117493363
"7","4126054","Man","hbo",6.59638073145823
"550","4042389","Vrouw","overig",9.58397182312468
"403","4169400","Vrouw","vwo",9.13836310657496
"402","4303006","Vrouw","vwo",7.35831205292457
"62","4360661","Man","vwo",7.24006728893046
"319","4149727","Vrouw","vwo",6.64353110381546
"63","4086405","Man","vwo",6.72634967182242
"497","4413237","Vrouw","vwo",6.33259926693272
"280","4281912","Vrouw","hbo",7.85905119808221
"80","4014735","Man","vwo",8.15993627812147
"224","4484515","Vrouw","hbo",7.6173086322758
"137","4149916","Man","vwo",6.54634174723904
"12","4461373","Man","hbo",5.56195397321993
"245","4432042","Vrouw","hbo",7.01159188444581
"190","4100695","Man","overig",7.12992315396904
"377","4404143","Vrouw","vwo",7.06771081174904
"197","4118476","Vrouw","hbo",7.79700619394226
"75","4055722","Man","vwo",7.30094526757402
"48","4376315","Man","hbo",7.63099146612642
"512","4010687","Vrouw","vwo",6.95948591488133
"346","4328031","Vrouw","vwo",7.78273623751758
"179","4222501","Man","overig",6.7673843143213
"265","4404035","Vrouw","hbo",8.77466882681447
"430","4420054","Vrouw","vwo",8.06513360614726
"358","4109084","Vrouw","vwo",7.74578744480567
"563","4454157","Vrouw","overig",7.34665629511642
"258","4164775","Vrouw","hbo",6.53873285734654
"601","4123015","Vrouw","overig",7.32113874885007
"185","4078202","Man","overig",9.24975551737932
"50","4406598","Man","hbo",8.1254206900636
"348","4457877","Vrouw","vwo",6.85434198306598
"31","4131973","Man","hbo",7.63781113523209
"17","4426462","Man","hbo",8.32729133795333
"44","4059010","Man","hbo",5.99881704832338
"470","4016536","Vrouw","vwo",6.93722625701225
"528","4486523","Vrouw","vwo",6.47891527018534
"594","4218523","Vrouw","overig",5.85715179399608
"275","4109160","Vrouw","hbo",7.07948365476
"274","4183758","Vrouw","hbo",7.46743291387052
"578","4063596","Vrouw","overig",8.12249574441879
"464","4177523","Vrouw","vwo",7.74516835983198
"458","4042984","Vrouw","vwo",7.10745608424303
"561","4459297","Vrouw","overig",6.19799274180761
"182","4406715","Man","overig",7.62903512012167
"135","4248010","Man","vwo",7.7355681628564
"69","4326607","Man","vwo",5.10453785246117
"177","4148446","Man","overig",5.92110650093848
"466","4408835","Vrouw","vwo",7.62741056646057
"318","4361237","Vrouw","vwo",6.31064467040175
"4","4408456","Man","hbo",6.89069132392526
"168","4376406","Man","overig",6.07302405630336
"256","4196247","Vrouw","hbo",6.92204031866703
"344","4399730","Vrouw","vwo",7.08368032141054
"360","4447981","Vrouw","vwo",8.86513013425123
"559","4489962","Vrouw","overig",6.16738089390188
"357","4239560","Vrouw","vwo",6.62618322461205
"397","4357681","Vrouw","vwo",5.57420403798901
"141","4180745","Man","vwo",6.09486153758875
"24","4181237","Man","hbo",6.89040936983681
"486","4369704","Vrouw","vwo",5.64443864631071
"427","4218073","Vrouw","vwo",6.74318039384037
"167","4068484","Man","overig",6.43179311945962
"591","4003366","Vrouw","overig",8.472654447469
"420","4365536","Vrouw","vwo",6.86992455083261
"314","4067718","Vrouw","vwo",7.20119150761372
"568","4216612","Vrouw","overig",8.45631692128956
"332","4295511","Vrouw","vwo",7.44662530404513
"97","4493378","Man","vwo",7.20972603996997
"577","4080381","Vrouw","overig",6.84516414506322
"170","4258468","Man","overig",7.91396233905445
"341","4466414","Vrouw","vwo",8.88397010470279
"434","4150474","Vrouw","vwo",7.68790849886898
"115","4147089","Man","vwo",6.9865789510036
"297","4447316","Vrouw","vwo",4.54295027767933
"585","4476346","Vrouw","overig",7.60853962974254
"520","4414330","Vrouw","vwo",7.0976640618882
"70","4162619","Man","vwo",6.43782924139759
"291","4445838","Vrouw","vwo",7.4020424850945
"558","4185396","Vrouw","overig",7.81916121760774
"68","4122497","Man","vwo",8.74235903904485
"181","4436323","Man","overig",6.39599024524597
"574","4492039","Vrouw","overig",6.29661229169478
"432","4329407","Vrouw","vwo",6.6823842517868
"163","4083371","Man","overig",9.3578173876011
"579","4404377","Vrouw","overig",8.19232536859556
"306","4077848","Vrouw","vwo",7.08866754185624
"311","4045012","Vrouw","vwo",8.05612551149949
"91","4198063","Man","vwo",9.44596566433491
"249","4409454","Vrouw","hbo",4.02595750660129
"552","4070738","Vrouw","overig",5.66433411282576
"347","4153589","Vrouw","vwo",8.06084872895007
"76","4195832","Man","vwo",6.86409465197666
"508","4494264","Vrouw","vwo",8.71324549389255
"207","4182445","Vrouw","hbo",5.86404846799017
"408","4435477","Vrouw","vwo",6.48666859105858
"296","4003269","Vrouw","vwo",6.17566038205984
"57","4214902","Man","vwo",7.78081082480018
"556","4125845","Vrouw","overig",7.59910373489487
"379","4230704","Vrouw","vwo",8.34753809093163
"287","4233343","Vrouw","hbo",8.39867444889729
"293","4024816","Vrouw","vwo",6.92299091179622
"305","4480990","Vrouw","vwo",6.30505989518655
"302","4036704","Vrouw","vwo",8.09226476570434
"364","4431052","Vrouw","vwo",7.36601907555389
"282","4433590","Vrouw","hbo",5.86711300904914
"443","4363826","Vrouw","vwo",7.21673680172382
"77","4393133","Man","vwo",7.21366111497023
"395","4182818","Vrouw","vwo",8.13778752223611
"9","4345166","Man","hbo",5.44183754998428
"388","4274964","Vrouw","vwo",7.97172219647766
"620","4073158","Vrouw","overig",7.05973722272885
"440","4488621","Vrouw","vwo",8.85909373112435
"376","4001955","Vrouw","vwo",8.01643630684198
"410","4193810","Vrouw","vwo",7.01246396990977
"366","4234174","Vrouw","vwo",4.9578876135585
"94","4451099","Man","vwo",7.14230266438981
"485","4413792","Vrouw","vwo",6.89361887195241
"494","4061015","Vrouw","vwo",8.33685327959033
"415","4100370","Vrouw","vwo",6.83126016106077
"523","4335272","Vrouw","vwo",7.55001870455132
"300","4432475","Vrouw","vwo",7.51078141800538
"586","4455711","Vrouw","overig",7.38291267264276
"269","4261501","Vrouw","hbo",6.36234121879485
"442","4147995","Vrouw","vwo",7.7270394144678
"374","4412220","Vrouw","vwo",6.92222923904128
"214","4303460","Vrouw","hbo",7.54943931761058
"279","4066328","Vrouw","hbo",6.70729749132721
"445","4195989","Vrouw","vwo",8.63796805938236
"30","4330423","Man","hbo",4.84804315375142
"493","4444497","Vrouw","vwo",6.95077820249413
"439","4445487","Vrouw","vwo",7.60277769505261
"421","4082022","Vrouw","vwo",5.59589030241387
"575","4411074","Vrouw","overig",7.7879824566943
"208","4060969","Vrouw","hbo",7.30933792821672
"424","4068108","Vrouw","vwo",7.55283153590922
"355","4208884","Vrouw","vwo",8.23892144955624
"336","4358219","Vrouw","vwo",7.45505323487432
"533","4087570","Vrouw","vwo",4.85330608337028
"45","4139697","Man","hbo",8.85370721597723
"530","4285556","Vrouw","vwo",5.85672803130302
"95","4119396","Man","vwo",8.86744347000481
"425","4263160","Vrouw","vwo",7.38528718612452
"220","4462002","Vrouw","hbo",6.03600230893009
"110","4233764","Man","vwo",6.95305251064021
"184","4073082","Man","overig",8.07588610128876
"209","4192373","Vrouw","hbo",6.37577654178311
"414","4392031","Vrouw","vwo",6.02273267697779
"215","4198810","Vrouw","hbo",7.14232179932707
"15","4199607","Man","hbo",5.52979773564038
"232","4135913","Vrouw","hbo",7.84435481129692
"609","4139739","Vrouw","overig",6.60619793773134
"551","4198258","Vrouw","overig",8.07294435097848
"615","4123670","Vrouw","overig",6.6386752381008
"221","4124175","Vrouw","hbo",6.69830976028748
"53","4395748","Man","vwo",6.73939642284665
"93","4179737","Man","vwo",5.67344282630226
"107","4032738","Man","vwo",6.97728771504425
"251","4118414","Vrouw","hbo",5.41259370436803
"74","4342661","Man","vwo",6.47923896548819
"25","4216903","Man","hbo",6.35167507104066
"132","4297845","Man","vwo",7.59643307353113
"178","4163046","Man","overig",6.98143786004889
"333","4005799","Vrouw","vwo",7.583120796739
"39","4371490","Man","hbo",6.69148655196198
"438","4392064","Vrouw","vwo",7.21543093464118
"255","4248936","Vrouw","hbo",7.36782834036769
"396","4026133","Vrouw","vwo",7.28693033731552
"257","4370646","Vrouw","hbo",6.81489216820439
"353","4191861","Vrouw","vwo",8.00295177475515
"139","4027099","Man","vwo",7.70529051576044
"510","4118207","Vrouw","vwo",5.71521841733571
"378","4075094","Vrouw","vwo",6.07377309975733
"116","4438378","Man","vwo",6.77071905841885
