"","Studentnummer","Periode","Vaksoort","Cijfers"
"1","4385074","1","Theorie",7.55732528705715
"2","4207511","1","Theorie",4.27645011898524
"3","4098908","1","Theorie",5.20396848188917
"4","4195935","1","Theorie",8.04219199076734
"5","4468737","1","Theorie",7.28365483316201
"6","4327754","1","Theorie",6.92487589103592
"7","4357990","1","Theorie",5.21534093436923
"8","4354057","1","Theorie",9.0557882721428
"9","4062367","1","Theorie",5.35208628978169
"10","4480166","1","Theorie",5.38887747638096
"11","4374045","1","Theorie",7.06892165251433
"12","4025547","1","Theorie",6.52917729367619
"13","4232263","1","Theorie",5.97742313294649
"14","4097291","1","Theorie",5.25973585515187
"15","4131464","1","Theorie",5.10628470996746
"16","4372364","1","Theorie",5.80530123092911
"17","4482451","1","Theorie",4.89918591977916
"18","4124790","1","Theorie",6.41585569306556
"19","4467535","1","Theorie",6.94016956769222
"20","4355807","1","Theorie",4.8527080329543
"21","4116211","1","Theorie",7.24965292992844
"22","4152123","1","Theorie",7.29601318433245
"23","4002847","1","Theorie",6.53869099680973
"24","4040995","1","Theorie",4.78067167763386
"25","4341640","1","Theorie",6.9483979230144
"26","4294862","1","Theorie",6.59528215381125
"27","4136336","1","Theorie",5.59350200523653
"28","4408720","1","Theorie",6.29137576479287
"29","4279097","1","Theorie",6.14905337614769
"30","4115138","1","Theorie",8.09934666853318
"31","4145420","1","Theorie",6.05570120373503
"32","4403010","1","Theorie",6.46777206140422
"33","4062025","1","Theorie",5.74943027314594
"34","4491882","1","Theorie",5.91236148479692
"35","4022007","1","Theorie",6.70315123725766
"36","4171635","1","Theorie",6.15802598037075
"37","4108459","1","Theorie",5.9182664324981
"38","4140908","1","Theorie",5.40819713574327
"39","4361394","1","Theorie",6.11935086119557
"40","4394473","1","Theorie",7.03301734418017
"41","4413206","1","Theorie",5.16018165689214
"42","4426137","1","Theorie",8.16431406899432
"43","4397190","1","Theorie",6.37632011184699
"44","4446180","1","Theorie",6.59992048382744
"45","4367062","1","Theorie",7.74719277764001
"46","4230283","1","Theorie",6.4360734877997
"47","4114684","1","Theorie",7.22458113056673
"48","4222679","1","Theorie",4.69732814839398
"49","4171524","1","Theorie",6.88095015526768
"50","4171587","1","Theorie",8.88355008932625
"51","4059146","1","Theorie",6.80136498750561
"52","4056642","1","Theorie",6.61517717074705
"53","4079630","1","Theorie",4.5842876470972
"54","4418345","1","Theorie",5.48826057576712
"55","4090422","1","Theorie",6.35095530914638
"56","4255963","1","Theorie",5.99461252331819
"57","4104067","1","Theorie",7.53038179784685
"58","4283167","1","Theorie",7.21546473507257
"59","4033745","1","Theorie",6.47641751904814
"60","4052443","1","Theorie",7.85374735124973
"61","4470984","1","Theorie",6.77412108343626
"62","4378422","1","Theorie",6.22909594424743
"63","4044034","1","Theorie",5.89778718814949
"64","4108996","1","Theorie",6.94352210794063
"65","4122869","1","Theorie",5.89481399714838
"66","4405342","1","Theorie",7.18679578940201
"67","4052937","1","Theorie",6.70094940160844
"68","4242059","1","Theorie",7.71022390674737
"69","4106819","1","Theorie",7.19843377027211
"70","4193925","1","Theorie",7.25086043761444
"71","4491286","1","Theorie",5.95643203190531
"72","4417603","1","Theorie",5.95322521239042
"73","4167709","1","Theorie",6.41330504177615
"74","4088606","1","Theorie",4.96385429377293
"75","4182503","1","Theorie",5.7707403527372
"76","4290456","1","Theorie",6.64352176562534
"77","4498200","1","Theorie",7.45836223334598
"78","4235595","1","Theorie",7.23134881791503
"79","4228871","1","Theorie",6.50521181595233
"80","4339089","1","Theorie",4.65828690554265
"81","4222548","1","Theorie",7.04524699376523
"82","4274478","1","Theorie",6.49710422467608
"83","4282359","1","Theorie",6.32326630546182
"84","4180274","1","Theorie",7.39195067770175
"85","4453547","1","Theorie",5.5407492387509
"86","4289011","1","Theorie",6.1184203116756
"87","4344680","1","Theorie",8.46624727069071
"88","4380871","1","Theorie",5.7884470221833
"89","4323639","1","Theorie",6.71561282466482
"90","4206884","1","Theorie",7.06029337814483
"91","4189140","1","Theorie",4.67779759285489
"92","4020387","1","Theorie",4.26537395165138
"93","4065990","1","Theorie",6.468945598137
"94","4117836","1","Theorie",7.2678217425811
"95","4095569","1","Theorie",4.10995582054125
"96","4386176","1","Theorie",6.24980971179168
"97","4099176","1","Theorie",6.13121820720896
"98","4312314","1","Theorie",8.19133204114731
"99","4397649","1","Theorie",7.07226804169809
"100","4304828","1","Theorie",6.19069886370327
"101","4307724","1","Theorie",6.41218250612437
"102","4410318","1","Theorie",7.93411686438439
"103","4421454","1","Theorie",6.47729181640714
"104","4166127","1","Theorie",6.47843753274893
"105","4338848","1","Theorie",5.6207389295703
"106","4269174","1","Theorie",6.56655966873187
"107","4362713","1","Theorie",6.66532456977475
"108","4112068","1","Theorie",7.29078070962027
"109","4356298","1","Theorie",5.93211163053349
"110","4170270","1","Theorie",7.15837455680685
"111","4496238","1","Theorie",5.75826364223006
"112","4373333","1","Theorie",7.02767182324743
"113","4230461","1","Theorie",6.64833012682298
"114","4125696","1","Theorie",5.69992418327579
"115","4287088","1","Theorie",5.83259841488082
"116","4389577","1","Theorie",6.13860607411054
"117","4379084","1","Theorie",5.33611496421342
"118","4428246","1","Theorie",6.29363134601125
"119","4456073","1","Theorie",7.17110373967559
"120","4082554","1","Theorie",9.14740354224873
"121","4385074","1","Praktijk",7.11606524292419
"122","4207511","1","Praktijk",7.74356763425028
"123","4098908","1","Praktijk",7.95286121063539
"124","4195935","1","Praktijk",6.39132587234213
"125","4468737","1","Praktijk",8.20111984739073
"126","4327754","1","Praktijk",7.65605250463262
"127","4357990","1","Praktijk",5.76574969256893
"128","4354057","1","Praktijk",6.93469518372192
"129","4062367","1","Praktijk",7.84176916364174
"130","4480166","1","Praktijk",6.78497897128842
"131","4374045","1","Praktijk",6.74042432377606
"132","4025547","1","Praktijk",6.40750598428071
"133","4232263","1","Praktijk",6.04146086652462
"134","4097291","1","Praktijk",7.91088999844844
"135","4131464","1","Praktijk",8.46760175223823
"136","4372364","1","Praktijk",7.05684894424936
"137","4482451","1","Praktijk",6.6849710936568
"138","4124790","1","Praktijk",8.68289118430819
"139","4467535","1","Praktijk",7.03741109007373
"140","4355807","1","Praktijk",7.24170917440232
"141","4116211","1","Praktijk",7.68303989613886
"142","4152123","1","Praktijk",6.01987282607213
"143","4002847","1","Praktijk",6.53642626085721
"144","4040995","1","Praktijk",6.56535010578694
"145","4341640","1","Praktijk",6.49803696855411
"146","4294862","1","Praktijk",7.77685037887132
"147","4136336","1","Praktijk",5.08691962927423
"148","4408720","1","Praktijk",7.46090968267475
"149","4279097","1","Praktijk",8.34712719028965
"150","4115138","1","Praktijk",7.2147936485562
"151","4145420","1","Praktijk",6.88826075609804
"152","4403010","1","Praktijk",6.24380389189584
"153","4062025","1","Praktijk",7.67341375854071
"154","4491882","1","Praktijk",5.68613592032277
"155","4022007","1","Praktijk",7.36428099767059
"156","4171635","1","Praktijk",6.32913478143465
"157","4108459","1","Praktijk",8.79332899431659
"158","4140908","1","Praktijk",7.84659752279178
"159","4361394","1","Praktijk",7.55736968518264
"160","4394473","1","Praktijk",7.30239306319965
"161","4413206","1","Praktijk",6.52473317480495
"162","4426137","1","Praktijk",8.17208502373943
"163","4397190","1","Praktijk",7.95586992924942
"164","4446180","1","Praktijk",6.77171437693286
"165","4367062","1","Praktijk",6.48607523628488
"166","4230283","1","Praktijk",7.00961593443278
"167","4114684","1","Praktijk",7.59986481171624
"168","4222679","1","Praktijk",6.22215508549585
"169","4171524","1","Praktijk",7.3837369095491
"170","4171587","1","Praktijk",5.04968947025626
"171","4059146","1","Praktijk",6.5770334742541
"172","4056642","1","Praktijk",6.43456068422988
"173","4079630","1","Praktijk",7.66430941878394
"174","4418345","1","Praktijk",7.72228216852483
"175","4090422","1","Praktijk",7.20979375993234
"176","4255963","1","Praktijk",6.75947380379709
"177","4104067","1","Praktijk",8.3994895345014
"178","4283167","1","Praktijk",7.08253151068358
"179","4033745","1","Praktijk",7.23820978738058
"180","4052443","1","Praktijk",8.39480563237129
"181","4470984","1","Praktijk",7.54395835210291
"182","4378422","1","Praktijk",6.87092702553501
"183","4044034","1","Praktijk",8.870857916859
"184","4108996","1","Praktijk",6.28194179718118
"185","4122869","1","Praktijk",7.11219267136269
"186","4405342","1","Praktijk",8.52029371983474
"187","4052937","1","Praktijk",8.93078613049822
"188","4242059","1","Praktijk",9.36259607787676
"189","4106819","1","Praktijk",6.88426752066742
"190","4193925","1","Praktijk",6.62490389576331
"191","4491286","1","Praktijk",5.79364356440211
"192","4417603","1","Praktijk",9.4678598535587
"193","4167709","1","Praktijk",6.42914607102932
"194","4088606","1","Praktijk",7.58031569699439
"195","4182503","1","Praktijk",7.80513677275497
"196","4290456","1","Praktijk",8.21967413681758
"197","4498200","1","Praktijk",7.67494304414822
"198","4235595","1","Praktijk",5.01405355988741
"199","4228871","1","Praktijk",8.13319216697515
"200","4339089","1","Praktijk",7.67543542123273
"201","4222548","1","Praktijk",7.5902816000284
"202","4274478","1","Praktijk",6.47267184915681
"203","4282359","1","Praktijk",8.18655594807659
"204","4180274","1","Praktijk",8.62398359867007
"205","4453547","1","Praktijk",7.68473051120034
"206","4289011","1","Praktijk",7.54923644593443
"207","4344680","1","Praktijk",8.06012424961619
"208","4380871","1","Praktijk",7.60461114460805
"209","4323639","1","Praktijk",7.56704492139953
"210","4206884","1","Praktijk",5.68080095049202
"211","4189140","1","Praktijk",8.74980333197868
"212","4020387","1","Praktijk",7.69988106566767
"213","4065990","1","Praktijk",7.66087285153237
"214","4117836","1","Praktijk",9.27670993327744
"215","4095569","1","Praktijk",6.89234943441699
"216","4386176","1","Praktijk",8.15237088517827
"217","4099176","1","Praktijk",7.73278829306006
"218","4312314","1","Praktijk",7.10445229162469
"219","4397649","1","Praktijk",7.05793662156788
"220","4304828","1","Praktijk",6.01697428902165
"221","4307724","1","Praktijk",7.74531840953441
"222","4410318","1","Praktijk",4.61814455741924
"223","4421454","1","Praktijk",7.97890003053602
"224","4166127","1","Praktijk",7.49294030270385
"225","4338848","1","Praktijk",7.1132920946516
"226","4269174","1","Praktijk",5.73364050453977
"227","4362713","1","Praktijk",6.1168205512642
"228","4112068","1","Praktijk",8.25773736712652
"229","4356298","1","Praktijk",6.83967919944358
"230","4170270","1","Praktijk",7.55059376501539
"231","4496238","1","Praktijk",7.22825765619336
"232","4373333","1","Praktijk",7.67304826102349
"233","4230461","1","Praktijk",6.28084527232802
"234","4125696","1","Praktijk",6.82417656366046
"235","4287088","1","Praktijk",5.38716623568778
"236","4389577","1","Praktijk",7.48860021110496
"237","4379084","1","Praktijk",7.0103774187229
"238","4428246","1","Praktijk",7.21786021321135
"239","4456073","1","Praktijk",7.85043024242613
"240","4082554","1","Praktijk",7.51025498542118
"241","4385074","2","Theorie",7.96835716892389
"242","4207511","2","Theorie",6.97261453361101
"243","4098908","2","Theorie",6.02248201197386
"244","4195935","2","Theorie",6.15397360804716
"245","4468737","2","Theorie",8.00143183167595
"246","4327754","2","Theorie",6.77135788057105
"247","4357990","2","Theorie",6.88170007857364
"248","4354057","2","Theorie",6.96602069601032
"249","4062367","2","Theorie",5.52109777484108
"250","4480166","2","Theorie",7.46332484782536
"251","4374045","2","Theorie",4.33545580479965
"252","4025547","2","Theorie",7.06917066826001
"253","4232263","2","Theorie",8.55977199341018
"254","4097291","2","Theorie",5.82272770861699
"255","4131464","2","Theorie",6.1974194912041
"256","4372364","2","Theorie",6.66869617615646
"257","4482451","2","Theorie",5.76456700601745
"258","4124790","2","Theorie",6.80660194131523
"259","4467535","2","Theorie",6.14944290241021
"260","4355807","2","Theorie",7.20424355620149
"261","4116211","2","Theorie",8.54203613746722
"262","4152123","2","Theorie",5.10487710938046
"263","4002847","2","Theorie",5.88147743390866
"264","4040995","2","Theorie",7.09825139469896
"265","4341640","2","Theorie",6.79817216339198
"266","4294862","2","Theorie",6.41956022337119
"267","4136336","2","Theorie",5.93279728075546
"268","4408720","2","Theorie",6.56233108481488
"269","4279097","2","Theorie",6.56270412482434
"270","4115138","2","Theorie",6.94073887799331
"271","4145420","2","Theorie",6.60708983077192
"272","4403010","2","Theorie",6.26687059922325
"273","4062025","2","Theorie",4.92524947317447
"274","4491882","2","Theorie",6.92796511312623
"275","4022007","2","Theorie",6.30214395093178
"276","4171635","2","Theorie",6.5843777227108
"277","4108459","2","Theorie",5.29822091378091
"278","4140908","2","Theorie",5.68277807136597
"279","4361394","2","Theorie",7.12819423946287
"280","4394473","2","Theorie",6.21518135432569
"281","4413206","2","Theorie",5.86528008306388
"282","4426137","2","Theorie",5.09516471089929
"283","4397190","2","Theorie",5.27931312007989
"284","4446180","2","Theorie",5.32877079703928
"285","4367062","2","Theorie",6.13908663782316
"286","4230283","2","Theorie",7.50468703481302
"287","4114684","2","Theorie",6.36674621666017
"288","4222679","2","Theorie",5.41754231634645
"289","4171524","2","Theorie",6.2800802620196
"290","4171587","2","Theorie",6.62801648002383
"291","4059146","2","Theorie",5.36937138330659
"292","4056642","2","Theorie",5.16858503189088
"293","4079630","2","Theorie",7.38623038899861
"294","4418345","2","Theorie",6.81424210222305
"295","4090422","2","Theorie",6.59316838075921
"296","4255963","2","Theorie",5.73734516953866
"297","4104067","2","Theorie",6.50714272376298
"298","4283167","2","Theorie",7.5280774574073
"299","4033745","2","Theorie",5.86998743069587
"300","4052443","2","Theorie",7.63190835172714
"301","4470984","2","Theorie",5.5367328439275
"302","4378422","2","Theorie",7.53231883156069
"303","4044034","2","Theorie",6.90905866292592
"304","4108996","2","Theorie",5.47745991612548
"305","4122869","2","Theorie",6.25235164352737
"306","4405342","2","Theorie",6.47067801069875
"307","4052937","2","Theorie",5.07492867389802
"308","4242059","2","Theorie",6.68733288420762
"309","4106819","2","Theorie",6.79066777697389
"310","4193925","2","Theorie",8.53912608412108
"311","4491286","2","Theorie",7.19221230896246
"312","4417603","2","Theorie",7.09893258373295
