"","Studentnummer","Premaster","Vak","Cijfer"
"1","4119129","Premaster","Sustainable Innovation",7.67009723116324
"2","4476406","Premaster","Sustainable Innovation",7.5377976251004
"3","4133293","Premaster","Sustainable Innovation",6.94473306965504
"4","4304196","Premaster","Sustainable Innovation",7.50210229122149
"5","4197153","Premaster","Sustainable Innovation",6.3597464193494
"6","4090492","Premaster","Sustainable Innovation",8.80286524569441
"7","4094328","Premaster","Sustainable Innovation",7.99871809551267
"8","4363115","Premaster","Sustainable Innovation",7.87772787154676
"9","4072921","Premaster","Sustainable Innovation",6.54513638254752
"10","4444847","Premaster","Sustainable Innovation",6.91160569391486
"11","4308663","Premaster","Sustainable Innovation",7.03966266507181
"12","4214167","Premaster","Sustainable Innovation",7.54706980075711
"13","4012359","Premaster","Sustainable Innovation",6.77431281716279
"14","4437113","Premaster","Sustainable Innovation",7.39365628250606
"15","4189613","Premaster","Sustainable Innovation",7.12358192848493
"16","4315494","Premaster","Sustainable Innovation",7.1612866324666
"17","4389355","Premaster","Sustainable Innovation",5.72518372050153
"18","4317436","Premaster","Sustainable Innovation",5.82279844797302
"19","4025633","Premaster","Sustainable Innovation",7.12665808275871
"20","4427981","Premaster","Sustainable Innovation",8.74118436817992
"21","4406169","Premaster","Sustainable Innovation",6.41377458166161
"22","4464979","Premaster","Sustainable Innovation",6.55481291847938
"23","4199615","Premaster","Sustainable Innovation",6.91306813461362
"24","4181843","Premaster","Sustainable Innovation",7.27983065874656
"25","4220300","Premaster","Sustainable Innovation",7.10701647276286
"26","4283247","Premaster","Sustainable Innovation",6.99398473928577
"27","4194724","Premaster","Sustainable Innovation",8.74411520516251
"28","4430843","Premaster","Sustainable Innovation",6.93863092476233
"29","4356166","Premaster","Sustainable Innovation",4.4656178077842
"30","4167500","Premaster","Sustainable Innovation",7.39300254041534
"31","4207066","Premaster","Sustainable Innovation",7.66780200930097
"32","4181137","Premaster","Sustainable Innovation",6.82206496740169
"33","4308987","Premaster","Sustainable Innovation",6.60374575452957
"34","4418361","Premaster","Sustainable Innovation",6.47991012950223
"35","4254135","Premaster","Sustainable Innovation",7.8786839638992
"36","4278054","Premaster","Sustainable Innovation",6.46064841264568
"37","4082715","Premaster","Sustainable Innovation",8.36422382535862
"38","4268814","Premaster","Sustainable Innovation",8.66648686681792
"39","4468870","Premaster","Sustainable Innovation",6.76353477123374
"40","4351695","Premaster","Sustainable Innovation",7.49558916294032
"41","4097985","Premaster","Sustainable Innovation",6.12196388264003
"42","4220969","Premaster","Sustainable Innovation",6.84800565275239
"43","4481277","Premaster","Sustainable Innovation",8.13728124207796
"44","4317263","Premaster","Sustainable Innovation",4.71695418587771
"45","4318538","Premaster","Sustainable Innovation",8.65260531126401
"46","4375362","Premaster","Sustainable Innovation",8.15980849924818
"47","4209405","Premaster","Sustainable Innovation",6.11807125380107
"48","4229252","Premaster","Sustainable Innovation",7.94528807313443
"49","4215618","Premaster","Sustainable Innovation",7.09765184871477
"50","4267605","Premaster","Sustainable Innovation",4.06243715728898
"51","4103951","Premaster","Sustainable Innovation",6.97972490488322
"52","4173733","Premaster","Sustainable Innovation",7.39007170336812
"53","4126145","Premaster","Sustainable Innovation",5.05708954654853
"54","4127281","Premaster","Sustainable Innovation",6.36184335791462
"55","4436357","Premaster","Sustainable Innovation",6.6923335498215
"56","4042938","Premaster","Sustainable Innovation",7.72971804075378
"57","4430508","Premaster","Sustainable Innovation",6.04552489096127
"58","4210664","Premaster","Sustainable Innovation",7.85803554073155
"59","4207990","Premaster","Sustainable Innovation",5.51860791842294
